name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
Reuters911,13332,13332,296076,22.20792079,0,2265,66.74096725,0.001665760635,0.0,0.1698919892,0.005006073151,64,4,8,72.94478953,0.0360448,0.226202,6.27558
raefsky2,3242,3242,294276,90.76989513,24,108,21.19256284,0.02799811694,0.007402837754,0.0333127699,0.006536879347,32,2,16,22.03599783,0.0204595,0.025498,1.24627
g7jac080,23670,23670,293976,12.41977186,2,153,21.41359974,0.0005247051907,8.45e-05,0.006463878327,0.0009046725703,32,2,16,61.39221261,0.0285798,0.032358,1.1322
t520,5563,5563,286341,51.47240697,20,180,8.6846247,0.009252634725,0.003595182456,0.0323566421,0.001561140518,32,2,16,31.52249428,0.0222106,0.02644,1.19042
cegb2802,2802,2802,277362,98.98715203,0,153,37.51521955,0.0353273205,0.0,0.05460385439,0.01338872932,32,4,16,29.58885504,0.0190976,0.026102,1.36677
rajat26,51032,51032,249302,4.88520928,1,3401,22.76037598,9.57e-05,1.96e-05,0.06664445838,0.0004460020375,64,8,8,71.11515681,0.0659354,0.464906,7.05093
lowThrust_13,18476,18476,224897,12.1723858,2,7184,74.74627283,0.0006588214872,0.0001082485386,0.3888287508,0.004045587401,256,2,16,265.7812724,0.145091,0.938086,6.4655
lowThrust_11,18368,18368,223801,12.18428789,2,7142,74.52758635,0.0006633431997,0.0001088850174,0.3888283972,0.004057468769,256,2,16,196.5265613,0.147282,0.877015,5.95467
lowThrust_9,18044,18044,219589,12.16964088,2,7016,73.86696198,0.0006744425226,0.0001108401685,0.388827311,0.004093713255,128,2,16,187.2393399,0.0783872,0.986347,12.583
ak2010,45292,45292,217098,4.793296829,0,430,5.749635388,0.0001058309818,0.0,0.009493950367,0.0001269459372,32,2,8,31.62115775,0.0340275,0.058143,1.70871
lowThrust_7,17378,17378,211561,12.17407066,2,6757,72.49062962,0.0007005449801,0.0001150880424,0.3888249511,0.004171402326,256,2,16,164.6407685,0.140227,0.847063,6.04066
g7jac060sc,17730,17730,203316,11.46734349,2,153,19.30369335,0.0006467762823,0.0001128031585,0.008629441624,0.00108875879,64,2,16,85.2784353,0.0308224,0.035738,1.15948
rajat22,39899,39899,197264,4.944083812,1,3401,24.9689269,0.0001239149806,2.51e-05,0.08524023158,0.000625803326,32,2,8,66.50976501,0.0317133,0.275599,8.69033
mult_dcop_02,25187,25187,193276,7.673641164,1,22767,143.8138605,0.0003046667394,3.97e-05,0.9039186882,0.00570984478,64,2,16,184.3619753,0.0590438,2.883656,48.8393
wiki-RfA,11380,11380,188077,16.52697715,0,1101,45.38310339,0.001452282702,0.0,0.0967486819,0.003987970421,64,2,8,30.96513447,0.0247091,0.118897,4.81187
nasa2910,2910,2910,174296,59.89553265,16,175,30.02034958,0.02058265727,0.005498281787,0.06013745704,0.01031627133,32,2,16,78.58872106,0.015145,0.021801,1.43948
lock3491,3491,3491,160444,45.95932398,0,113,12.95427722,0.01316508851,0.0,0.03236894873,0.003710764026,32,2,16,37.75458933,0.0144794,0.01833,1.26594
Fashion_MNIST_norm_10NN,10000,10000,158304,15.8304,10,123,7.943981108,0.00158304,0.001,0.0123,0.0007943981108,128,2,16,38.93137694,0.0431104,0.050637,1.17459
g7jac050sc,14760,14760,157990,10.70392954,2,149,17.39172889,0.0007251984783,0.000135501355,0.01009485095,0.001178301416,64,2,8,74.19032241,0.0262758,0.031519,1.19954
kmnist_norm_10NN,10000,10000,156932,15.6932,10,140,7.368125526,0.00156932,0.001,0.014,0.0007368125526,32,2,16,28.45542969,0.0177459,0.02474,1.39412
hangGlider_4,15561,15561,149532,9.609408136,2,13831,110.8353632,0.0006175315298,0.0001285264443,0.8888246257,0.007122637567,128,2,16,18.06109601,0.0729702,1.645097,22.5448
shermanACb,18510,18510,145149,7.84165316,1,10405,99.9494537,0.000423644147,5.4e-05,0.5621285791,0.005399754387,512,2,16,152.471871,0.239268,1.331456,5.56471
cavity16,4562,4562,138187,30.29088119,8,62,15.15676522,0.0066398249,0.001753616835,0.01359053047,0.003322394831,32,8,16,85.4039361,0.014377,0.016671,1.15956
raefsky6,3402,3402,137845,40.51881246,1,165,32.03970061,0.01191029173,0.0002939447384,0.04850088183,0.009417901413,32,8,16,80.88555471,0.0137011,0.019948,1.45594
ex31,3909,3909,115357,29.51061653,9,75,16.59750919,0.007549403051,0.002302379125,0.01918649271,0.004245973187,64,2,16,239.798629,0.0160256,0.018698,1.16676
ex8,3096,3096,106344,34.34883721,12,75,15.22150466,0.01109458566,0.003875968992,0.0242248062,0.004916506673,32,2,16,37.49348039,0.0115917,0.014449,1.2465
ex9,3363,3363,99471,29.57805531,10,50,11.5144644,0.008795139848,0.002973535534,0.01486767767,0.003423866905,32,2,16,84.911539,0.0113869,0.013087,1.1493
coupled,11341,11341,98523,8.68732916,1,3090,30.0919428,0.0007660108597,8.82e-05,0.2724627458,0.002653376492,512,2,8,70.44513396,0.133345,0.457605,3.43174
orani678,2529,2529,90158,35.6496639,1,1110,86.01106075,0.01409634792,0.0003954132068,0.4389086595,0.03400990935,512,2,16,29.46439605,0.0620646,0.136704,2.20261
p2p-Gnutella30,36682,36682,88328,2.407938498,0,54,4.334387476,6.56e-05,0.0,0.001472111662,0.0001181611547,64,2,4,21.17220555,0.0292454,0.040929,1.3995
kineticBatchReactor_7,7968,7968,84508,10.60592369,1,2720,51.77629975,0.001331064721,0.000125502008,0.3413654618,0.006498029587,256,2,16,164.4737908,0.0537293,0.32471,6.04344
bcsstk13,2003,2003,83883,41.87868198,5,95,22.8042914,0.02090797902,0.002496255617,0.04742885671,0.0113850681,64,2,8,9.442040404,0.012759,0.019016,1.4904
kineticBatchReactor_6,7773,7773,82500,10.61366268,1,2678,51.1793712,0.001365452551,0.0001286504567,0.3445259231,0.006584249479,128,2,16,39.41571412,0.0355021,0.32041,9.0251
lowThrust_3,7064,7064,80645,11.41633635,2,2746,46.18438009,0.001616129155,0.0002831257078,0.3887315968,0.006537992651,512,2,16,177.2325791,0.0907264,0.359793,3.96569
cavity14,2597,2597,76367,29.40585291,8,62,14.94716959,0.01132300844,0.003080477474,0.02387370042,0.005755552402,32,4,16,69.94778825,0.0105165,0.011827,1.12461
cavity10,2597,2597,76367,29.40585291,8,62,14.94716959,0.01132300844,0.003080477474,0.02387370042,0.005755552402,64,4,8,139.6276977,0.0126976,0.0145,1.14195
cegb3306,3306,3306,74916,22.66061706,0,54,11.29761835,0.006854391125,0.0,0.01633393829,0.003417307426,64,8,8,51.36483124,0.0131686,0.01534,1.16489
kineticBatchReactor_4,7105,7105,74869,10.5375088,1,2426,48.54278821,0.001483111724,0.0001407459536,0.3414496833,0.006832201015,256,2,16,66.87312558,0.0483635,0.264837,5.47597
ex20,2203,2203,69981,31.76622787,8,67,15.40953433,0.01441953149,0.003631411711,0.03041307308,0.006994795428,64,8,8,55.8908283,0.011561,0.014285,1.23562
rdist3a,2398,2398,61896,25.81150959,1,93,21.54407398,0.01076376547,0.0004170141785,0.0387823186,0.008984184311,128,2,16,16.70350305,0.0170086,0.019825,1.16559
ex10hs,2548,2548,57308,22.49136578,4,50,11.30049821,0.008827066632,0.001569858713,0.01962323391,0.004435046394,32,2,16,59.25053895,0.00940032,0.010404,1.10677
MISKnowledgeMap,2427,2427,57022,23.49484961,1,80,13.2553553,0.009680613765,0.0004120313144,0.03296250515,0.005461621465,64,2,4,25.35714452,0.0125133,0.015985,1.27744
bcsstm27,1224,1224,56126,45.85457516,15,54,9.793293122,0.03746288821,0.01225490196,0.04411764706,0.008001056472,32,2,16,33.55992286,0.008704,0.010691,1.22829
ex10,2410,2410,54840,22.75518672,6,50,11.48362645,0.009441986192,0.002489626556,0.02074688797,0.004764990228,32,4,16,66.03724053,0.00914432,0.01024,1.11982
ex7,1633,1633,54543,33.4004899,8,75,15.32477711,0.0204534537,0.004898958971,0.04592774036,0.009384431787,32,2,16,30.96774054,0.00868352,0.01111,1.27944
shermanACd,6136,6136,53329,8.691166884,1,5181,67.91661206,0.001416422243,0.0001629726206,0.8443611473,0.01106854825,256,2,16,139.8347093,0.0448819,0.530606,11.8223
kineticBatchReactor_3,5082,5082,53219,10.47205824,1,1348,36.95255404,0.002060617522,0.000196772924,0.2652499016,0.007271262109,128,2,8,14.88877153,0.0227328,0.132854,5.84415
