name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
lp_fit2d,25,10524,129042,5161.68,1427,10500,2750.4276572198733,0.4904675028506272,0.1355948308627898,0.9977194982896236,0.261348124023173,64,1,256,inf,inf,nan
lp_fit2d,25,10524,129042,5161.68,1427,10500,2750.4276572198733,0.4904675028506272,0.1355948308627898,0.9977194982896236,0.261348124023173,128,1,256,inf,inf,nan
lp_fit2d,25,10524,129042,5161.68,1427,10500,2750.4276572198733,0.4904675028506272,0.1355948308627898,0.9977194982896236,0.261348124023173,256,1,256,inf,inf,nan
lp_fit2d,25,10524,129042,5161.68,1427,10500,2750.4276572198733,0.4904675028506272,0.1355948308627898,0.9977194982896236,0.261348124023173,512,1,256,inf,inf,nan
mhda416,416,416,8562,20.58173076923077,1,33,6.322126352725204,0.0494753143491124,0.0024038461538461,0.079326923076923,0.0151974191171278,32,1,8,0.00567296,0.007721,1.36102
mhda416,416,416,8562,20.58173076923077,1,33,6.322126352725204,0.0494753143491124,0.0024038461538461,0.079326923076923,0.0151974191171278,64,1,8,0.00607232,0.009032,1.48741
mhda416,416,416,8562,20.58173076923077,1,33,6.322126352725204,0.0494753143491124,0.0024038461538461,0.079326923076923,0.0151974191171278,128,2,8,0.00687104,0.009359,1.36209
mhda416,416,416,8562,20.58173076923077,1,33,6.322126352725204,0.0494753143491124,0.0024038461538461,0.079326923076923,0.0151974191171278,256,2,8,0.00806912,0.010045,1.24487
mhda416,416,416,8562,20.58173076923077,1,33,6.322126352725204,0.0494753143491124,0.0024038461538461,0.079326923076923,0.0151974191171278,512,2,8,0.0112435,0.013404,1.19216
bcsstm34,588,588,24270,41.275510204081634,12,54,10.864296464330392,0.0701964459253089,0.0204081632653061,0.0918367346938775,0.0184766946672285,32,1,8,0.00681984,0.009533,1.39783
bcsstm34,588,588,24270,41.275510204081634,12,54,10.864296464330392,0.0701964459253089,0.0204081632653061,0.0918367346938775,0.0184766946672285,64,2,8,0.00772096,0.011827,1.5318
bcsstm34,588,588,24270,41.275510204081634,12,54,10.864296464330392,0.0701964459253089,0.0204081632653061,0.0918367346938775,0.0184766946672285,128,4,8,0.0095232,0.012124,1.2731
bcsstm34,588,588,24270,41.275510204081634,12,54,10.864296464330392,0.0701964459253089,0.0204081632653061,0.0918367346938775,0.0184766946672285,256,1,8,0.0129434,0.014213,1.09809
bcsstm34,588,588,24270,41.275510204081634,12,54,10.864296464330392,0.0701964459253089,0.0204081632653061,0.0918367346938775,0.0184766946672285,512,2,16,0.0199987,0.021463,1.07322
patents_main,240547,240547,560943,2.3319476027553865,0,206,2.995494597096717,9.694353297922595e-06,0.0,0.000856381497171,1.2452845377812724e-05,32,1,8,0.105482,0.130652,1.23862
patents_main,240547,240547,560943,2.3319476027553865,0,206,2.995494597096717,9.694353297922595e-06,0.0,0.000856381497171,1.2452845377812724e-05,64,1,4,0.199363,0.203192,1.01921
patents_main,240547,240547,560943,2.3319476027553865,0,206,2.995494597096717,9.694353297922595e-06,0.0,0.000856381497171,1.2452845377812724e-05,128,1,4,0.397957,0.413501,1.03906
patents_main,240547,240547,560943,2.3319476027553865,0,206,2.995494597096717,9.694353297922595e-06,0.0,0.000856381497171,1.2452845377812724e-05,256,1,4,0.793774,0.814326,1.02589
patents_main,240547,240547,560943,2.3319476027553865,0,206,2.995494597096717,9.694353297922595e-06,0.0,0.000856381497171,1.2452845377812724e-05,512,1,4,1.58315,1.579797,0.997882
